much	negative:-4.9485655646877005	positive:-4.9126872770227985
fatalism	negative:-10.323184242891017	positive:-9.630037062331072
establishes	negative:-9.630102784785171	positive:-9.224637676677007
Melville	negative:-10.323184242891017	positive:-9.630037062331072
Gian-Maria	negative:-10.323184242891017	positive:-9.630037062331072
compellingly	negative:-10.323184242891017	positive:-9.630037062331072
arises	negative:-9.630069924098052	positive:-9.630069924098052
jewelry	negative:-9.630135644392501	positive:-8.936988463832558
Cercle	negative:-10.323184242891017	positive:-9.630037062331072
Bouvril	negative:-10.323184242891017	positive:-9.630037062331072
code	negative:-9.224637676677007	positive:-9.630102784785171
damaging	negative:-10.323184242891017	positive:-9.630037062331072
philosophies	negative:-10.323184242891017	positive:-9.630037062331072
dominating	negative:-10.323184242891017	positive:-9.630037062331072
rarer	negative:-10.323184242891017	positive:-9.630037062331072
trait	negative:-9.630069924098052	positive:-9.630069924098052
one-way	negative:-10.323184242891017	positive:-9.630037062331072
Le	negative:-9.630102784785171	positive:-9.224637676677007
Nihilism	negative:-10.323184242891017	positive:-9.630037062331072
builds	negative:-10.323249965345116	positive:-8.936955604225226
Montand	negative:-10.323184242891017	positive:-9.630037062331072
nihilism	negative:-10.323184242891017	positive:-9.630037062331072
depend	negative:-10.323184242891017	positive:-9.630037062331072
possibilities	negative:-9.630135644392501	positive:-8.936988463832558
Volonte	negative:-10.323184242891017	positive:-9.630037062331072
moralists	negative:-10.323184242891017	positive:-9.630037062331072
Jansen	negative:-10.323184242891017	positive:-9.630037062331072
greets	negative:-10.323184242891017	positive:-9.630037062331072
wording	negative:-10.323184242891017	positive:-9.630037062331072
Vogel	negative:-10.323184242891017	positive:-9.630037062331072
tub	negative:-10.323249965345116	positive:-8.936955604225226
ruthlessness	negative:-10.323184242891017	positive:-9.630037062331072
Sib	negative:-9.630037062331072	positive:-10.323184242891017
ducks	negative:-9.630037062331072	positive:-10.323184242891017
Kiarostami	negative:-9.630037062331072	positive:-10.323184242891017
co-star	negative:-10.323282824952447	positive:-8.713844912518347
tremendous	negative:-9.630234216736469	positive:-8.3774712482411
defy	negative:-9.630102784785171	positive:-9.224637676677007
ironically	negative:-9.630102784785171	positive:-9.224637676677007
Nimi	negative:-10.323184242891017	positive:-9.630037062331072
Matthew	negative:-9.630069924098052	positive:-9.630069924098052
furthered	negative:-10.323184242891017	positive:-9.630037062331072
Nia	negative:-10.323184242891017	positive:-9.630037062331072
saddening	negative:-10.323217104657997	positive:-9.224604815989887
Johns	negative:-10.323217104657997	positive:-9.224604815989887
reissues	negative:-10.323184242891017	positive:-9.630037062331072
schoolers	negative:-10.323184242891017	positive:-9.630037062331072
one-night-stand	negative:-10.323184242891017	positive:-9.630037062331072
Crown	negative:-10.323249965345116	positive:-8.936955604225226
VAN	negative:-10.323217104657997	positive:-9.224604815989887
facilitates	negative:-10.323184242891017	positive:-9.630037062331072
DeVito	negative:-10.323184242891017	positive:-9.630037062331072
artifact	negative:-10.323249965345116	positive:-8.936955604225226
prevailing	negative:-10.323184242891017	positive:-9.630037062331072
referenced	negative:-10.323217104657997	positive:-9.224604815989887
satisfaction	negative:-10.323282824952447	positive:-8.713844912518347
customised	negative:-10.323184242891017	positive:-9.630037062331072
Sammy	negative:-10.323184242891017	positive:-9.630037062331072
CHEVY	negative:-10.323184242891017	positive:-9.630037062331072
carnal	negative:-10.323184242891017	positive:-9.630037062331072
reissued	negative:-10.323184242891017	positive:-9.630037062331072
programmer	negative:-9.630069924098052	positive:-9.630069924098052
four.	negative:-9.630037062331072	positive:-10.323184242891017
dealers	negative:-9.630037062331072	positive:-10.323184242891017
persons	negative:-9.630069924098052	positive:-9.630069924098052
BMW	negative:-9.630037062331072	positive:-10.323184242891017
Abel	negative:-9.630037062331072	positive:-10.323184242891017
apology	negative:-8.936988463832558	positive:-9.630135644392501
communities	negative:-9.224604815989887	positive:-10.323217104657997
upper	negative:-9.630069924098052	positive:-9.630069924098052
deceptive	negative:-9.224604815989887	positive:-10.323217104657997
Xmas	negative:-9.224604815989887	positive:-10.323217104657997
Ghetto	negative:-9.630037062331072	positive:-10.323184242891017
requested	negative:-9.630037062331072	positive:-10.323184242891017
ransom	negative:-9.630069924098052	positive:-9.630069924098052
Gueto	negative:-9.630037062331072	positive:-10.323184242891017
humanization	negative:-9.630037062331072	positive:-10.323184242891017
Gangues	negative:-9.630037062331072	positive:-10.323184242891017
Ferrara	negative:-9.630037062331072	positive:-10.323184242891017
Gangs	negative:-9.630037062331072	positive:-10.323184242891017
slums	negative:-9.224604815989887	positive:-10.323217104657997
Choir	negative:-10.323184242891017	positive:-9.630037062331072
tonsils	negative:-10.323184242891017	positive:-9.630037062331072
Colorado	negative:-9.630102784785171	positive:-9.224637676677007
Charter	negative:-10.323184242891017	positive:-9.630037062331072
believers	negative:-10.323184242891017	positive:-9.630037062331072
Market	negative:-10.323184242891017	positive:-9.630037062331072
Lucia	negative:-10.323184242891017	positive:-9.630037062331072
Volunteers	negative:-10.323184242891017	positive:-9.630037062331072
annual	negative:-9.630069924098052	positive:-9.630069924098052
Gracious	negative:-10.323184242891017	positive:-9.630037062331072
Georgetown	negative:-10.323184242891017	positive:-9.630037062331072
December	negative:-10.323249965345116	positive:-8.936955604225226
Governor	negative:-10.323217104657997	positive:-9.224604815989887
Historical	negative:-10.323217104657997	positive:-9.224604815989887
Downfall	negative:-9.630102784785171	positive:-9.224637676677007
fatalistic	negative:-10.323184242891017	positive:-9.630037062331072
Kretschmann	negative:-10.323184242891017	positive:-9.630037062331072
valour	negative:-10.323184242891017	positive:-9.630037062331072
stir	negative:-9.630069924098052	positive:-9.630069924098052
Pianist	negative:-10.323217104657997	positive:-9.224604815989887
pieta	negative:-10.323184242891017	positive:-9.630037062331072
remove	negative:-9.630168502920114	positive:-8.71387777104596
pounding	negative:-10.323184242891017	positive:-9.630037062331072
ideals	negative:-10.323184242891017	positive:-9.630037062331072
annihilation	negative:-10.323184242891017	positive:-9.630037062331072
untamed	negative:-10.323184242891017	positive:-9.630037062331072
kill-or-be-killed	negative:-9.630037062331072	positive:-10.323184242891017
sheltered	negative:-9.630037062331072	positive:-10.323184242891017
boneheaded	negative:-9.630037062331072	positive:-10.323184242891017
contagion	negative:-9.630037062331072	positive:-10.323184242891017
Pine	negative:-9.630037062331072	positive:-10.323184242891017
agonize	negative:-9.630037062331072	positive:-10.323184242891017
debutantes	negative:-9.630037062331072	positive:-10.323184242891017
constitutes	negative:-9.224604815989887	positive:-10.323217104657997
lurking	negative:-9.630037062331072	positive:-10.323184242891017
isolation	negative:-9.22470339481195	positive:-8.937021322360168
range.	negative:-9.630037062331072	positive:-10.323184242891017
dimensions	negative:-9.630037062331072	positive:-10.323184242891017
shrewd	negative:-9.630037062331072	positive:-10.323184242891017
surgical	negative:-9.630037062331072	positive:-10.323184242891017
bleach	negative:-9.630037062331072	positive:-10.323184242891017
paper-thin	negative:-9.224604815989887	positive:-10.323217104657997
end-of-the-world	negative:-9.630037062331072	positive:-10.323184242891017
accumulating	negative:-9.630037062331072	positive:-10.323184242891017
unconcerned.	negative:-9.630037062331072	positive:-10.323184242891017
airborne	negative:-9.630037062331072	positive:-10.323184242891017
contend	negative:-9.224604815989887	positive:-10.323217104657997
precautions	negative:-9.630037062331072	positive:-10.323184242891017
over-sharp	negative:-9.630037062331072	positive:-10.323184242891017
wiped	negative:-9.630037062331072	positive:-10.323184242891017
saturated	negative:-9.630037062331072	positive:-10.323184242891017
wiping	negative:-9.630037062331072	positive:-10.323184242891017
Kirk	negative:-9.630069924098052	positive:-9.630069924098052
southwestern	negative:-9.630037062331072	positive:-10.323184242891017
dweebs	negative:-9.630037062331072	positive:-10.323184242891017
apocalypse	negative:-9.630037062331072	positive:-10.323184242891017
Carriers	negative:-9.630037062331072	positive:-10.323184242891017
survivors	negative:-8.936988463832558	positive:-9.630135644392501
mankind	negative:-8.531589071699969	positive:-9.63020136036808
newbs	negative:-9.630037062331072	positive:-10.323184242891017
-Empty	negative:-10.323184242891017	positive:-9.630037062331072
-none	negative:-10.323184242891017	positive:-9.630037062331072
Barnils	negative:-10.323184242891017	positive:-9.630037062331072
bathed	negative:-9.630069924098052	positive:-9.630069924098052
buides	negative:-10.323184242891017	positive:-9.630037062331072
actors-	negative:-10.323184242891017	positive:-9.630037062331072
-look	negative:-9.630069924098052	positive:-9.630069924098052
gleaming	negative:-10.323217104657997	positive:-9.224604815989887
Reus	negative:-10.323184242891017	positive:-9.630037062331072
Recha	negative:-10.323184242891017	positive:-9.630037062331072
l'Ebre	negative:-10.323184242891017	positive:-9.630037062331072
'les	negative:-10.323184242891017	positive:-9.630037062331072
Ebro	negative:-10.323184242891017	positive:-9.630037062331072
Sabadell	negative:-10.323184242891017	positive:-9.630037062331072
journalist-	negative:-10.323184242891017	positive:-9.630037062331072
roaming	negative:-9.630069924098052	positive:-9.630069924098052
hands-	negative:-10.323184242891017	positive:-9.630037062331072
sunlight-	negative:-10.323184242891017	positive:-9.630037062331072
'La	negative:-10.323184242891017	positive:-9.630037062331072
Catalan	negative:-10.323184242891017	positive:-9.630037062331072
Catalans	negative:-10.323184242891017	positive:-9.630037062331072
batalla	negative:-10.323184242891017	positive:-9.630037062331072
Abandon	negative:-10.323184242891017	positive:-9.630037062331072
wikipedia-	negative:-10.323184242891017	positive:-9.630037062331072
road/river	negative:-10.323184242891017	positive:-9.630037062331072
creak	negative:-9.630037062331072	positive:-10.323184242891017
showpiece	negative:-9.630037062331072	positive:-10.323184242891017
Adler	negative:-9.630069924098052	positive:-9.630069924098052
stitch	negative:-9.630037062331072	positive:-10.323184242891017
misfires	negative:-9.630037062331072	positive:-10.323184242891017
quasi-comedy	negative:-9.630037062331072	positive:-10.323184242891017
Astrodome	negative:-9.630037062331072	positive:-10.323184242891017
glamourpuss	negative:-9.630037062331072	positive:-10.323184242891017
Houston	negative:-9.630037062331072	positive:-10.323184242891017
Altman-directed	negative:-9.630037062331072	positive:-10.323184242891017
Admirably	negative:-9.630037062331072	positive:-10.323184242891017
Kellerman	negative:-9.630037062331072	positive:-10.323184242891017
weirdos	negative:-9.630037062331072	positive:-10.323184242891017
Pollard	negative:-9.630037062331072	positive:-10.323184242891017
Shelley	negative:-9.630037062331072	positive:-10.323184242891017
overloaded	negative:-9.630037062331072	positive:-10.323184242891017
Cort	negative:-9.630037062331072	positive:-10.323184242891017
mean-spirited	negative:-9.630069924098052	positive:-9.630069924098052
spirals	negative:-9.630037062331072	positive:-10.323184242891017
Broadcast	negative:-10.323184242891017	positive:-9.630037062331072
broadcasting	negative:-10.323184242891017	positive:-9.630037062331072
beings.	negative:-10.323184242891017	positive:-9.630037062331072
operated	negative:-9.630069924098052	positive:-9.630069924098052
hectic	negative:-10.323184242891017	positive:-9.630037062331072
Brook	negative:-9.630069924098052	positive:-9.630069924098052
Kerry	negative:-9.630037062331072	positive:-10.323184242891017
republicans	negative:-9.630037062331072	positive:-10.323184242891017
»	negative:-9.630037062331072	positive:-10.323184242891017
crystal	negative:-9.630037062331072	positive:-10.323184242891017
-vote	negative:-9.630037062331072	positive:-10.323184242891017
expects	negative:-9.224604815989887	positive:-10.323217104657997
semi-serious	negative:-9.630037062331072	positive:-10.323184242891017
punchline	negative:-9.630037062331072	positive:-10.323184242891017
anchors	negative:-9.630037062331072	positive:-10.323184242891017
Daily	negative:-9.630069924098052	positive:-9.630069924098052
Cheney	negative:-9.630037062331072	positive:-10.323184242891017
hijacked	negative:-9.630069924098052	positive:-9.630069924098052
